Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
MAP7_2,22.980797665001102,9.386420270552958e-24,1.909104946781363,0.9836727400487348,-0.2621638306820025,0.00033695211443804585
AP1S2_2,21.729441717830905,1.0218970083827825e-22,1.857102848447858,0.9850835832146299,0.32424873822772904,7.5387584714477945e-06
CD300LF,20.167777636239048,2.2034814871427835e-21,1.7878502583252422,0.986839243528253,0.2148725230349458,0.0034888577068784613
MPO,20.066893608526527,2.6967472353590802e-21,1.7831986514530151,0.9869521990969773,-0.06544217465560623,0.3787709222092787
KDM5B_3,18.746159238360118,3.959992963635564e-20,1.7201638361686429,0.9884222662420059,-0.3389395404894175,2.6877293837740705e-06
AP1S2,18.616748513384998,5.1748271639998007e-20,1.7137655556955762,0.9885652354096506,0.33561167413241516,3.4109922248490453e-06
MPO_2,18.057736727912236,1.6587533177540292e-19,1.6856491166240817,0.9891800339232905,-0.06807521544288002,0.35984682095784387
CD1D,17.518945571568604,5.170271221359817e-19,1.6577921168729952,0.9897677304746451,0.4559484195829243,8.812625874864913e-11
PRDX4,17.50372479827229,5.340108117475574e-19,1.6569940538069978,0.9897842555793045,0.18083281794268238,0.014296361587779347
CPA3,17.46961187460654,5.741523502735663e-19,1.6552031783465584,0.9898212755036071,-0.2503394885646196,0.0006310328432529835
ITGB2_2,17.37008900879828,7.09580448840443e-19,1.6499605344972526,0.98992914900793,0.28425774170779017,9.628222122162564e-05
NLRC4,17.17228953420188,1.0824987884594794e-18,1.6394613025898301,0.9901429510596964,0.31504700868392016,1.4003361626590895e-05
SAMHD1,17.022703091173856,1.4917714523144596e-18,1.631450087630999,0.9903040933662295,0.3856332328225057,7.007088897072338e-08
TFDP2,16.93710732028421,1.7931442155771277e-18,1.6268380740451662,0.9903960819525583,-0.31931311781259647,1.053529274537273e-05
GRN,16.704656543523072,2.9609916868081705e-18,1.6142097297223046,0.9906450543395798,0.44083570106154213,4.2248470955550035e-10
ITM2A_2,16.66584036998795,3.220516873595367e-18,1.612086074285073,0.9906865062761048,-0.2950570584061399,5.01876440972231e-05
CPM,16.533116641733926,4.294770513829708e-18,1.6055771047907428,0.9908128111055542,0.5024568327708657,4.250124690292514e-13
PEX3_2,16.50899615518217,4.525859246999023e-18,1.6034611517398338,0.9908536291925328,-0.2333051763789295,0.0014806617579806887
TNFRSF1B,16.484612853660472,4.772249895486446e-18,1.6021139493359604,0.9908795559751519,0.2848360899114154,9.304239056968687e-05
